hue,value,chroma,r,g,b
2.5RP,8,7,248,183,215
2.5RP,8,9,255,176,220
2.5RP,8,11,255,168,225
2.5RP,8,13,255,159,231
5RP,8,3,221,196,203
5RP,8,5,237,189,204
5RP,8,7,250,182,205
5RP,8,9,255,174,207
5RP,8,11,255,165,209
7.5RP,8,3,223,195,200
7.5RP,8,5,240,188,198
7.5RP,8,7,252,181,198
7.5RP,8,9,255,173,197
7.5RP,8,11,255,164,197
10RP,9,3,248,222,224
10RP,9,5,255,215,219
2.5R,9,3,248,222,222
2.5R,9,5,255,214,214
5R,9,3,249,222,218
5R,9,5,255,214,208
7.5R,9,3,250,221,214
7.5R,9,5,255,214,200
10R,9,3,250,221,210
10R,9,5,255,215,193
2.5YR,9,3,251,222,204
2.5YR,9,5,255,216,184
5YR,9,3,251,223,198
5YR,9,5,255,219,177
7.5YR,9,3,250,224,194
7.5YR,9,5,255,221,170
7.5YR,9,7,255,218,147
10YR,9,3,249,226,189
10YR,9,5,255,224,164
10YR,9,7,255,222,139
2.5Y,9,3,246,228,185
2.5Y,9,5,253,227,159
2.5Y,9,7,255,225,132
2.5Y,9,9,255,224,104
2.5Y,9,11,255,223,71
5Y,9,3,241,230,183
5Y,9,5,248,230,155
5Y,9,7,253,230,126
5Y,9,9,255,229,96
5Y,9,11,255,229,54
7.5Y,9,3,238,231,182
7.5Y,9,5,242,232,154
7.5Y,9,7,246,232,124
7.5Y,9,9,249,232,92
7.5Y,9,11,252,233,44
10Y,9,3,234,232,182
10Y,9,5,237,233,154
10Y,9,7,239,234,124
10Y,9,9,241,235,91
2.5GY,9,3,230,233,183
2.5GY,9,5,229,236,155
2.5GY,9,7,228,237,126
2.5GY,9,9,227,239,94
2.5GY,9,11,226,240,45
5GY,9,3,225,234,185
5GY,9,5,222,237,159
5GY,9,7,218,240,132
5GY,9,9,214,243,102
5GY,9,11,210,245,64
7.5GY,9,3,214,237,192
7.5GY,9,5,205,241,170
7.5GY,9,7,196,244,147
7.5GY,9,9,187,248,123
7.5GY,9,11,177,251,97
7.5GY,9,13,166,253,63
10GY,9,3,206,238,200
10GY,9,5,191,243,181
10GY,9,7,176,248,164
10GY,9,9,160,252,146
10GY,9,11,143,254,128
10GY,9,13,122,255,109
10GY,9,15,95,255,87
10GY,9,17,48,255,58
2.5G,9,3,199,239,208
2.5G,9,5,178,245,195
2.5G,9,7,156,250,182
2.5G,9,9,131,253,171
2.5G,9,11,101,255,160
5G,9,3,195,240,214
5G,9,5,170,246,206
5G,9,7,141,251,198
5G,9,9,107,254,192
7.5G,9,3,192,240,219
7.5G,9,5,165,246,213
7.5G,9,7,133,251,207
7.5G,9,9,94,254,203
10G,9,3,190,240,222
10G,9,5,162,246,219
10G,9,7,127,251,215
10G,9,9,79,254,213
2.5BG,9,3,189,240,226
2.5BG,9,5,159,246,224
2.5BG,9,7,121,251,223
2.5BG,9,9,57,254,223
5BG,9,3,188,240,229
5BG,9,5,156,246,231
5BG,9,7,114,251,232
7.5BG,9,3,188,239,235
7.5BG,9,5,155,245,239
7.5BG,9,7,107,250,243
10BG,9,3,189,239,238
10BG,9,5,154,244,245
2.5B,9,3,191,238,242
5B,9,3,195,236,246
7.5B,9,3,200,235,247
10B,9,3,204,234,247
10PB,9,3,228,227,247
2.5P,9,3,232,226,247
5P,9,3,235,226,245
7.5P,9,3,242,224,240
7.5P,9,5,251,219,250
10P,9,3,244,224,237
10P,9,5,253,218,245
2.5RP,9,3,247,223,234
2.5RP,9,5,255,216,238
5RP,9,3,247,222,230
5RP,9,5,255,215,231
7.5RP,9,3,248,222,227
7.5RP,9,5,255,215,225
10Y,1,1,32,32,23
10Y,2,1,54,54,46
10Y,3,1,78,78,67
10Y,4,1,102,103,91
10Y,5,1,131,130,117
10Y,6,1,157,156,142
10Y,7,1,180,179,164
10Y,8,1,204,203,186
10Y,9,1,232,231,214
7.5PB,1,1,30,30,38
7.5PB,2,1,52,53,61
7.5PB,3,1,76,76,85
7.5PB,4,1,100,101,109
7.5PB,5,1,128,129,136
7.5PB,6,1,154,155,161
7.5PB,7,1,176,178,184
7.5PB,8,1,200,202,207
7.5PB,9,1,229,230,236
2.5P,1,1,34,29,38
2.5P,2,1,56,52,60
2.5P,3,1,79,75,84
2.5P,4,1,104,100,109
2.5P,5,1,131,128,135
2.5P,6,1,156,154,161
2.5P,7,1,179,177,183
2.5P,8,1,203,201,206
2.5P,9,1,231,230,235
5BG,1,1,23,33,33
5BG,2,1,46,55,55
5BG,3,1,68,79,78
5BG,4,1,92,104,103
5BG,5,1,119,132,130
5BG,6,1,144,158,156
5BG,7,1,166,181,178
5BG,8,1,189,205,202
5BG,9,1,217,234,230
10RP,1,1,39,28,33
10RP,2,1,61,51,54
10RP,3,1,86,74,76
10RP,4,1,111,99,101
10RP,5,1,137,127,128
10RP,6,1,163,153,154
10RP,7,1,185,176,176
10RP,8,1,208,200,201
10RP,9,1,237,229,229
7.5BG,1,1,22,33,34
7.5BG,2,1,46,55,56
7.5BG,3,1,67,79,79
7.5BG,4,1,91,104,104
7.5BG,5,1,118,132,132
7.5BG,6,1,144,158,157
7.5BG,7,1,166,181,180
7.5BG,8,1,190,205,204
7.5BG,9,1,217,234,232
2.5R,1,1,39,28,32
2.5R,2,1,62,51,53
2.5R,3,1,86,74,75
2.5R,4,1,111,99,100
2.5R,5,1,137,127,127
2.5R,6,1,163,153,153
2.5R,7,1,186,176,176
2.5R,8,1,208,200,200
2.5R,9,1,237,229,229
5GY,1,1,29,32,26
5GY,2,1,52,55,48
5GY,3,1,75,78,69
5GY,4,1,100,103,92
5GY,5,1,127,131,119
5GY,6,1,153,157,144
5GY,7,1,176,180,165
5GY,8,1,200,204,188
5GY,9,1,229,232,215
2.5BG,1,1,24,33,32
2.5BG,2,1,46,55,54
2.5BG,3,1,68,79,77
2.5BG,4,1,92,104,102
2.5BG,5,1,119,132,129
2.5BG,6,1,144,158,155
2.5BG,7,1,166,181,177
2.5BG,8,1,189,205,201
2.5BG,9,1,217,234,229
2.5RP,1,1,37,28,36
2.5RP,2,1,60,51,57
2.5RP,3,1,84,74,80
2.5RP,4,1,109,99,104
2.5RP,5,1,135,127,131
2.5RP,6,1,161,153,157
2.5RP,7,1,183,176,179
2.5RP,8,1,206,200,203
2.5RP,9,1,235,229,232
2.5YR,1,1,39,28,27
2.5YR,2,1,61,51,48
2.5YR,3,1,86,74,70
2.5YR,4,1,111,99,95
2.5YR,5,1,138,127,122
2.5YR,6,1,165,153,148
2.5YR,7,1,187,176,171
2.5YR,8,1,210,200,195
2.5YR,9,1,239,228,223
2.5B,1,1,22,33,35
2.5B,2,1,45,55,57
2.5B,3,1,67,79,82
2.5B,4,1,92,104,106
2.5B,5,1,119,131,133
2.5B,6,1,145,158,159
2.5B,7,1,167,180,182
2.5B,8,1,191,204,206
2.5B,9,1,219,233,234
5YR,1,1,39,29,25
5YR,2,1,61,51,47
5YR,3,1,85,75,69
5YR,4,1,111,100,93
5YR,5,1,138,127,121
5YR,6,1,164,153,146
5YR,7,1,187,176,169
5YR,8,1,210,200,193
5YR,9,1,239,229,221
2.5GY,1,1,30,32,24
2.5GY,2,1,53,54,47
2.5GY,3,1,76,78,68
2.5GY,4,1,101,103,91
2.5GY,5,1,129,130,118
2.5GY,6,1,155,157,143
2.5GY,7,1,178,179,164
2.5GY,8,1,202,203,187
2.5GY,9,1,231,232,214
7.5B,1,1,23,32,37
7.5B,2,1,46,55,59
7.5B,3,1,68,78,83
7.5B,4,1,94,103,108
7.5B,5,1,121,131,135
7.5B,6,1,147,157,161
7.5B,7,1,170,180,183
7.5B,8,1,194,203,207
7.5B,9,1,223,232,235
10GY,1,1,27,32,28
10GY,2,1,49,55,50
10GY,3,1,72,79,72
10GY,4,1,96,104,96
10GY,5,1,123,132,123
10GY,6,1,148,158,148
10GY,7,1,171,181,170
10GY,8,1,194,205,192
10GY,9,1,222,234,220
10G,1,1,24,33,31
10G,2,1,47,55,53
10G,3,1,69,79,76
10G,4,1,93,104,101
10G,5,1,119,132,128
10G,6,1,145,158,154
10G,7,1,167,181,176
10G,8,1,190,205,200
10G,9,1,217,234,228
7.5RP,1,1,38,28,34
7.5RP,2,1,61,51,55
7.5RP,3,1,86,74,77
7.5RP,4,1,110,99,102
7.5RP,5,1,137,127,129
7.5RP,6,1,162,153,155
7.5RP,7,1,185,176,177
7.5RP,8,1,208,200,201
7.5RP,9,1,236,229,230
10YR,1,1,37,30,22
10YR,2,1,59,52,45
10YR,3,1,83,76,68
10YR,4,1,109,101,91
10YR,5,1,136,128,118
10YR,6,1,162,154,144
10YR,7,1,185,177,166
10YR,8,1,209,201,189
10YR,9,1,238,229,217
5G,1,1,25,33,29
5G,2,1,48,55,52
5G,3,1,70,79,74
5G,4,1,94,104,99
5G,5,1,120,132,126
5G,6,1,146,158,151
5G,7,1,168,181,174
5G,8,1,191,205,197
5G,9,1,219,234,225
10R,1,1,40,28,28
10R,2,1,62,51,50
10R,3,1,86,74,72
10R,4,1,111,99,96
10R,5,1,138,127,124
10R,6,1,164,153,150
10R,7,1,187,176,172
10R,8,1,210,200,197
10R,9,1,238,228,225
2.5Y,1,1,36,30,20
2.5Y,2,1,58,53,45
2.5Y,3,1,82,76,67
2.5Y,4,1,107,101,90
2.5Y,5,1,135,128,118
2.5Y,6,1,161,155,143
2.5Y,7,1,184,177,165
2.5Y,8,1,208,201,188
2.5Y,9,1,236,230,215
10PB,1,1,32,30,38
10PB,2,1,54,52,60
10PB,3,1,78,76,85
10PB,4,1,102,101,109
10PB,5,1,129,128,136
10PB,6,1,155,155,161
10PB,7,1,178,177,183
10PB,8,1,202,201,207
10PB,9,1,230,230,235
5P,1,1,35,29,37
5P,2,1,57,52,59
5P,3,1,81,75,84
5P,4,1,105,100,108
5P,5,1,132,128,134
5P,6,1,158,154,160
5P,7,1,180,177,183
5P,8,1,203,201,206
5P,9,1,232,230,235
5B,1,1,22,32,36
5B,2,1,46,55,58
5B,3,1,68,79,82
5B,4,1,93,104,107
5B,5,1,120,131,134
5B,6,1,146,157,160
5B,7,1,169,180,183
5B,8,1,193,204,206
5B,9,1,221,233,235
10B,1,1,24,32,38
10B,2,1,47,54,60
10B,3,1,70,78,84
10B,4,1,95,103,108
10B,5,1,123,130,135
10B,6,1,149,156,161
10B,7,1,172,179,183
10B,8,1,196,203,207
10B,9,1,224,232,236
7.5GY,1,1,28,32,27
7.5GY,2,1,50,55,49
7.5GY,3,1,73,79,71
7.5GY,4,1,98,104,94
7.5GY,5,1,125,131,121
7.5GY,6,1,151,158,145
7.5GY,7,1,173,180,168
7.5GY,8,1,197,204,190
7.5GY,9,1,225,233,217
5PB,1,1,28,31,38
5PB,2,1,50,53,60
5PB,3,1,73,77,85
5PB,4,1,99,102,109
5PB,5,1,126,129,136
5PB,6,1,152,155,161
5PB,7,1,175,178,184
5PB,8,1,199,202,207
5PB,9,1,227,231,236
5Y,1,1,35,31,20
5Y,2,1,57,53,45
5Y,3,1,81,77,67
5Y,4,1,106,102,90
5Y,5,1,133,129,117
5Y,6,1,159,155,142
5Y,7,1,182,178,164
5Y,8,1,206,202,187
5Y,9,1,235,231,214
2.5G,1,1,26,33,29
2.5G,2,1,48,55,51
2.5G,3,1,71,79,73
2.5G,4,1,95,104,98
2.5G,5,1,121,132,124
2.5G,6,1,147,158,150
2.5G,7,1,169,181,172
2.5G,8,1,192,205,195
2.5G,9,1,220,234,223
7.5YR,1,1,38,29,23
7.5YR,2,1,60,52,46
7.5YR,3,1,85,75,68
7.5YR,4,1,110,100,92
7.5YR,5,1,137,127,120
7.5YR,6,1,164,154,145
7.5YR,7,1,186,176,168
7.5YR,8,1,210,200,191
7.5YR,9,1,239,229,219
2.5PB,1,1,26,32,38
2.5PB,2,1,49,54,60
2.5PB,3,1,71,78,84
2.5PB,4,1,97,102,109
2.5PB,5,1,124,130,136
2.5PB,6,1,150,156,161
2.5PB,7,1,173,179,184
2.5PB,8,1,197,202,207
2.5PB,9,1,226,231,236
10P,1,1,36,28,36
10P,2,1,59,51,58
10P,3,1,83,74,81
10P,4,1,108,99,106
10P,5,1,134,127,132
10P,6,1,160,153,158
10P,7,1,183,176,180
10P,8,1,206,200,204
10P,9,1,234,229,232
7.5P,1,1,36,29,37
7.5P,2,1,58,51,59
7.5P,3,1,82,75,83
7.5P,4,1,107,100,107
7.5P,5,1,133,127,133
7.5P,6,1,159,153,159
7.5P,7,1,182,176,181
7.5P,8,1,205,200,205
7.5P,9,1,234,229,233
7.5Y,1,1,33,31,21
7.5Y,2,1,56,54,45
7.5Y,3,1,79,77,67
7.5Y,4,1,105,102,90
7.5Y,5,1,132,130,117
7.5Y,6,1,158,156,142
7.5Y,7,1,181,178,164
7.5Y,8,1,205,202,187
7.5Y,9,1,234,231,214
7.5R,1,1,40,28,29
7.5R,2,1,62,51,51
7.5R,3,1,87,74,73
7.5R,4,1,111,99,98
7.5R,5,1,138,127,125
7.5R,6,1,164,153,151
7.5R,7,1,187,176,174
7.5R,8,1,209,200,198
7.5R,9,1,238,228,226
7.5G,1,1,25,33,30
7.5G,2,1,47,55,52
7.5G,3,1,69,79,75
7.5G,4,1,93,104,100
7.5G,5,1,120,132,127
7.5G,6,1,145,158,152
7.5G,7,1,167,181,175
7.5G,8,1,190,205,198
7.5G,9,1,218,234,227
10BG,1,1,22,33,35
10BG,2,1,45,55,57
10BG,3,1,67,79,81
10BG,4,1,92,104,105
10BG,5,1,119,132,133
10BG,6,1,144,158,158
10BG,7,1,167,181,181
10BG,8,1,190,205,205
10BG,9,1,218,234,233
5R,1,1,39,28,30
5R,2,1,62,51,52
5R,3,1,87,74,74
5R,4,1,111,99,98
5R,5,1,138,127,126
5R,6,1,164,153,152
5R,7,1,186,176,175
5R,8,1,209,200,199
5R,9,1,238,229,227
5RP,1,1,38,28,35
5RP,2,1,61,51,56
5RP,3,1,85,74,78
5RP,4,1,110,99,103
5RP,5,1,136,127,130
5RP,6,1,162,153,156
5RP,7,1,184,176,178
5RP,8,1,207,200,202
5RP,9,1,236,229,231
